"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"Fungi";"Basidiomycota";"Geminibasidiomycetes";"Geminibasidiales";"Geminibasidiaceae";"Geminibasidium";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Sporormiella";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Coniochaetales";"Coniochaetaceae";"Coniochaeta";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";".";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Teratosphaeriaceae";"Phaeothecoidea";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Teratosphaeriaceae";"Devriesia";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lindgomycetaceae";"Clohesyomyces";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Teratosphaeriaceae";"Bryochiton";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Melanommataceae";"Herpotrichia";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";".";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Agaricaceae";"Disciseda";"."
"Fungi";"Mucoromycota";"Umbelopsidomycetes";"Umbelopsidales";"Umbelopsidaceae";"Umbelopsis";"."
"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Ascobolaceae";"Ascobolus";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Sporormiella";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Cantharellales_family_incertae_sedis";"Minimedusa";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_family_incertae_sedis";"Tetracladium";"."
"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Diaporthales";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Sporormiella";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";".";".";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Phomatosporales";"Phomatosporaceae";"Phomatospora";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Dothideales";"Saccotheciaceae";"Aureobasidium";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Leptosphaeriaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Dothideales";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Phaeosphaeria";"."
"Fungi";"Mucoromycota";"Mucoromycetes";"Mucorales";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Delitschiaceae";"Delitschia";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Delitschiaceae";"Delitschia";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Amphisphaeriales";"Sporocadaceae";"Seimatosporium";"lichenicola"
"Fungi";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Orbilia";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Venturiales";"Venturiaceae";"Venturia";"."
"Fungi";"Mucoromycota";"Mucoromycota_class_incertae_sedis";"Mucoromycota_order_incertae_sedis";"Mucoromycota_family_incertae_sedis";"Bifiguratus";"."
"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma";"."
"Fungi";"Chytridiomycota";"Spizellomycetes";"Spizellomycetales";"Powellomycetaceae";"Powellomyces";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"Rhynchogastremaceae";"Papiliotrema";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Rickenellaceae";"Rickenella";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Thelebolales";"Pseudeurotiaceae";"Geomyces";"."
"Fungi";"Chytridiomycota";".";".";".";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Auriculariales";"Oliveoniaceae";"Oliveonia";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Melanommataceae";"Pleotrichocladium";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiaceae";"Antennariella";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Rutstroemiaceae";".";"."
"Fungi";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Sagenomella";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Sordariaceae";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Cantharellales_family_incertae_sedis";"Minimedusa";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Mrakiaceae";"Tausonia";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Chaetosphaeronema";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiales_family_incertae_sedis";"Ramimonilia";"apicalis"
"Fungi";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Orbilia";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Delitschiaceae";"Delitschia";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";".";"."
"Fungi";"Ascomycota";"Pezizomycotina_class_incertae_sedis";".";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Comoclathris";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Comoclathris";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_family_incertae_sedis";"Polyphilus";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Tricladiaceae";"Tricladium";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma";"."
"Fungi";"Ascomycota";"Lecanoromycetes";"Ostropales";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiales_family_incertae_sedis";"Ramimonilia";"apicalis"
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Teratosphaeriaceae";"Lapidomyces";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Podosporaceae";"Podospora";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";"Darksidea";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Trechisporales";".";".";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";".";".";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";".";".";"."
"Fungi";"Mortierellomycota";".";".";".";".";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Leotiales";"Tympanidaceae";"Calyptrozyma";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Apodus";"deciduus"
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Hydnangiaceae";"Laccaria";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hamatocanthoscyphaceae";"Microscypha";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Cucurbitariaceae";".";"."
"Fungi";"Ascomycota";"Arthoniomycetes";"Lichenostigmatales";"Phaeococcomycetaceae";"Phaeococcomyces";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";".";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Coniochaetales";"Coniochaetaceae";"Coniochaeta";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Agaricales_family_incertae_sedis";"Lepista";"luscina"
"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Filobasidium";"."
"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Scutellinia";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Preussia";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Ploettnerulaceae";"Cadophora";"."
"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Pezizaceae";"Peziza";"."
"Fungi";"Basidiomycota";"Pucciniomycetes";"Pucciniales";"Pucciniaceae";"Puccinia";"allii"
